Betting Agency,Home Team,Away Team,Win,Draw,Loss,Date Refreshed,,,,,,,,
UniBet (NT),Newcastle,Arsenal,3.7,3.7,1.94,Thu Oct 24 20:17,,,,,,,,
BetsAPI,Newcastle,Arsenal,3.4,3.9,1.95,Thu Oct 24 20:31,,,,,,,,
Sportsbet (NT),Newcastle,Arsenal,3.5,3.9,1.9,Thu Oct 24 20:09,,,,,,,,
BetR (NT),Newcastle,Arsenal,3.4,3.8,1.95,Thu Oct 24 20:27,,,,,,,,
"BetFair -5% (UK,Aus)",Newcastle,Arsenal,3.47,3.52,1.93,Thu Oct 24 20:02,,,,,,,,
TAB Sportsbet (NSW),Newcastle,Arsenal,3.3,3.5,1.95,Thu Oct 24 20:06,,,,,,,,
BetsAPI,Bournemouth,Man City,5.75,4.1,1.57,Thu Oct 24 20:31,,,,,,,,
UniBet (NT),Bournemouth,Man City,6.1,4.3,1.52,Thu Oct 24 20:17,,,,,,,,
Sportsbet (NT),Bournemouth,Man City,5.5,4.33,1.53,Thu Oct 24 20:54,,,,,,,,
"BetFair -5% (UK,Aus)",Bournemouth,Man City,5.75,4.23,1.52,Thu Oct 24 20:02,,,,,,,,
BetR (NT),Bournemouth,Man City,5.5,4.1,1.55,Thu Oct 24 20:54,,,,,,,,
TAB Sportsbet (NSW),Bournemouth,Man City,5,4,1.52,Thu Oct 24 20:11,,,,,,,,
Sportsbet (NT),Ipswich,Leicester,2.2,3.5,3.2,Thu Oct 24 20:41,,,,,,,,
UniBet (NT),Ipswich,Leicester,2.18,3.6,3.1,Thu Oct 24 20:17,,,,,,,,
BetsAPI,Ipswich,Leicester,2.15,3.5,3.2,Thu Oct 24 20:19,,,,,,,,
BetR (NT),Ipswich,Leicester,2.2,3.4,3.1,Thu Oct 24 20:27,,,,,,,,
"BetFair -5% (UK,Aus)",Ipswich,Leicester,2.16,3.42,3.04,Thu Oct 24 20:31,,,,,,,,
TAB Sportsbet (NSW),Ipswich,Leicester,2.1,3.4,3,Thu Oct 24 20:26,,,,,,,,
BetsAPI,Liverpool,Brighton,1.45,4.5,7,Thu Oct 24 20:49,,,,,,,,
UniBet (NT),Liverpool,Brighton,1.41,4.9,7,Thu Oct 24 20:17,,,,,,,,
"BetFair -5% (UK,Aus)",Liverpool,Brighton,1.41,5.09,6.13,Thu Oct 24 20:01,,,,,,,,
BetR (NT),Liverpool,Brighton,1.4,4.8,6.75,Thu Oct 24 20:50,,,,,,,,
Sportsbet (NT),Liverpool,Brighton,1.36,5,7,Thu Oct 24 20:41,,,,,,,,
TAB Sportsbet (NSW),Liverpool,Brighton,1.38,4.75,6,Thu Oct 24 20:31,,,,,,,,
Sportsbet (NT),Nottingham Forest,West Ham,2.2,3.5,3.2,Thu Oct 24 20:41,,,,,,,,
UniBet (NT),Nottingham Forest,West Ham,2.25,3.5,3.05,Thu Oct 24 20:17,,,,,,,,
BetsAPI,Nottingham Forest,West Ham,2.2,3.5,3.1,Thu Oct 24 20:35,,,,,,,,
BetR (NT),Nottingham Forest,West Ham,2.2,3.4,3.15,Thu Oct 24 20:34,,,,,,,,
"BetFair -5% (UK,Aus)",Nottingham Forest,West Ham,2.18,3.38,3.14,Thu Oct 24 20:16,,,,,,,,
TAB Sportsbet (NSW),Nottingham Forest,West Ham,2.15,3.3,3,Thu Oct 24 20:06,,,,,,,,
Sportsbet (NT),Southampton,Everton,2.5,3.5,2.7,Thu Oct 24 20:17,,,,,,,,
UniBet (NT),Southampton,Everton,2.4,3.45,2.85,Thu Oct 24 20:17,,,,,,,,
BetsAPI,Southampton,Everton,2.5,3.4,2.75,Thu Oct 24 20:19,,,,,,,,
"BetFair -5% (UK,Aus)",Southampton,Everton,2.5,3.47,2.69,Thu Oct 24 20:02,,,,,,,,
BetR (NT),Southampton,Everton,2.5,3.3,2.7,Thu Oct 24 20:34,,,,,,,,
TAB Sportsbet (NSW),Southampton,Everton,2.4,3.3,2.6,Thu Oct 24 20:06,,,,,,,,
UniBet (NT),Wolves,Crystal Palace,2.5,3.45,2.7,Thu Oct 24 20:17,,,,,,,,
Sportsbet (NT),Wolves,Crystal Palace,2.62,3.3,2.62,Thu Oct 24 20:41,,,,,,,,
BetsAPI,Wolves,Crystal Palace,2.63,3.3,2.6,Thu Oct 24 20:29,,,,,,,,
BetR (NT),Wolves,Crystal Palace,2.6,3.25,2.65,Thu Oct 24 20:27,,,,,,,,
"BetFair -5% (UK,Aus)",Wolves,Crystal Palace,2.44,3.33,2.58,Thu Oct 24 20:02,,,,,,,,
TAB Sportsbet (NSW),Wolves,Crystal Palace,2.5,3.25,2.5,Thu Oct 24 20:35,,,,,,,,
"BetFair -5% (UK,Aus)",Tottenham,Aston Villa,1.89,4.23,3.57,Thu Oct 24 20:27,,,,,,,,
UniBet (NT),Tottenham,Aston Villa,1.9,4,3.55,Thu Oct 24 20:17,,,,,,,,
Sportsbet (NT),Tottenham,Aston Villa,1.85,4.2,3.5,Thu Oct 24 20:41,,,,,,,,
BetsAPI,Tottenham,Aston Villa,1.83,4.1,3.6,Thu Oct 24 20:51,,,,,,,,
BetR (NT),Tottenham,Aston Villa,1.85,4,3.6,Thu Oct 24 20:27,,,,,,,,
TAB Sportsbet (NSW),Tottenham,Aston Villa,1.8,3.8,3.4,Thu Oct 24 20:32,,,,,,,,
"BetFair -5% (UK,Aus)",Man United,Chelsea,2.65,3.66,2.46,Thu Oct 24 20:32,,,,,,,,
Sportsbet (NT),Man United,Chelsea,2.45,3.75,2.62,Thu Oct 24 20:17,,,,,,,,
UniBet (NT),Man United,Chelsea,2.5,3.7,2.55,Thu Oct 24 20:17,,,,,,,,
BetsAPI,Man United,Chelsea,2.6,3.5,2.55,Thu Oct 24 20:19,,,,,,,,
BetR (NT),Man United,Chelsea,2.5,3.7,2.5,Thu Oct 24 20:34,,,,,,,,
TAB Sportsbet (NSW),Man United,Chelsea,2.5,3.5,2.4,Thu Oct 24 20:29,,,,,,,,
Sportsbet (NT),Fulham,Brentford,2.1,3.6,3.4,Thu Oct 24 20:41,,,,,,,,
UniBet (NT),Fulham,Brentford,2.04,3.45,3.6,Thu Oct 24 20:17,,,,,,,,
BetR (NT),Fulham,Brentford,2.05,3.5,3.4,Thu Oct 24 20:34,,,,,,,,
BetsAPI,Fulham,Brentford,2.1,3.5,3.25,Thu Oct 24 20:51,,,,,,,,
TAB Sportsbet (NSW),Fulham,Brentford,2.05,3.3,3.25,Thu Oct 24 20:22,,,,,,,,
"BetFair -5% (UK,Aus)",Fulham,Brentford,1.95,3.33,3.14,Thu Oct 24 20:02,,,,,,,,